zip,high_risk_count,medium_risk_count,low_risk_count,total_inspections,high_risk_prop,medium_risk_prop,low_risk_prop,avg_zhvi_all_time,avg_zhvi_recent,zhvi_latest
60601,185,42,6,233,0.7939914163090128,0.18025751072961374,0.02575107296137339,367084.6340507099,371926.4321569849,351524.0388725436
60602,66,28,4,98,0.673469387755102,0.2857142857142857,0.04081632653061224,415000.76103026303,338246.7223690942,250520.15743830465
60603,112,15,4,131,0.8549618320610687,0.11450381679389313,0.030534351145038167,455220.45081799064,393878.1124262643,309002.11240773415
60604,45,22,3,70,0.6428571428571429,0.3142857142857143,0.04285714285714286,314685.340158713,306048.4612279938,301862.3720758537
60605,164,43,11,218,0.7522935779816514,0.19724770642201836,0.05045871559633028,358331.794012329,354461.007795174,320604.548651651
60606,156,41,10,207,0.7536231884057971,0.19806763285024154,0.04830917874396135,328893.7676216628,308042.72237314185,304398.23666984454
60607,362,42,12,416,0.8701923076923077,0.10096153846153846,0.028846153846153848,395912.2913946888,431167.6363311054,395521.54670191597
60608,350,146,28,524,0.6679389312977099,0.2786259541984733,0.05343511450381679,274398.0780042039,338881.42108511896,345651.6335315772
60609,230,71,31,332,0.6927710843373494,0.21385542168674698,0.09337349397590361,178345.38552682468,232733.70476040387,238324.9092100067
60610,251,46,15,312,0.8044871794871795,0.14743589743589744,0.04807692307692308,341680.238016217,359535.4109889222,357828.16768809175
60611,383,67,10,460,0.8326086956521739,0.14565217391304347,0.021739130434782608,360824.47823417507,342720.5471899467,335141.2815592463
60612,166,85,24,275,0.6036363636363636,0.3090909090909091,0.08727272727272728,302882.7616737374,348243.7946236195,342983.1855550052
60613,303,76,30,409,0.7408312958435208,0.18581907090464547,0.07334963325183375,259065.47719940345,291694.8773267215,319789.49427120277
60614,609,127,47,783,0.7777777777777778,0.16219667943805874,0.06002554278416347,503093.37354050996,561159.1344353739,607915.3538258557
60615,124,33,7,164,0.7560975609756098,0.20121951219512196,0.042682926829268296,200365.21104720375,237018.1457490427,245219.51429903676
60616,297,68,13,378,0.7857142857142857,0.17989417989417988,0.03439153439153439,307092.9370130284,338334.76845150284,314842.755952119
60617,237,72,29,338,0.7011834319526628,0.21301775147928995,0.08579881656804733,103318.76902276844,153242.48061034063,163963.14126196652
60618,476,89,36,601,0.7920133111480865,0.1480865224625624,0.059900166389351084,390878.5653758296,493174.0783485297,524427.490803291
60619,190,75,65,330,0.5757575757575758,0.22727272727272727,0.19696969696969696,110713.48239011159,160941.28802319153,160804.59053355528
60620,202,94,59,355,0.5690140845070423,0.2647887323943662,0.16619718309859155,110673.02607818056,163693.48316066636,173505.86898942708
60621,90,43,23,156,0.5769230769230769,0.27564102564102566,0.14743589743589744,69540.66747131951,100495.71235819493,115540.72456190258
60622,448,106,36,590,0.7593220338983051,0.17966101694915254,0.061016949152542375,469062.6086021761,574675.2399992797,595189.4009056389
60623,239,62,31,332,0.7198795180722891,0.18674698795180722,0.09337349397590361,128135.06487683725,184919.49502207903,205406.61587001468
60624,90,52,48,190,0.47368421052631576,0.2736842105263158,0.25263157894736843,136423.5541360626,190603.3407201376,202334.004491602
60625,443,77,41,561,0.7896613190730838,0.13725490196078433,0.07308377896613191,286085.95404530934,357275.899002873,388974.99882133835
60626,246,70,45,361,0.6814404432132964,0.19390581717451524,0.12465373961218837,159130.24340313068,210175.30585708452,241977.69579198584
60628,185,100,42,327,0.5657492354740061,0.3058103975535168,0.12844036697247707,89418.73790231383,138036.7734668198,141292.06571202958
60629,214,58,22,294,0.7278911564625851,0.19727891156462585,0.07482993197278912,159189.5730787633,227897.7706880665,260856.90915254387
60630,209,57,40,306,0.6830065359477124,0.18627450980392157,0.13071895424836602,262184.8969737093,341395.784714509,391475.640939763
60631,111,22,6,139,0.7985611510791367,0.15827338129496402,0.04316546762589928,305223.0868446196,377621.5005533091,427822.7871749021
60632,300,69,27,396,0.7575757575757576,0.17424242424242425,0.06818181818181818,169109.60715228962,236203.0426011751,268623.7577003738
60633,25,10,1,36,0.6944444444444444,0.2777777777777778,0.027777777777777776,107482.45319548616,164886.87262548902,186745.43269440113
60634,306,66,40,412,0.7427184466019418,0.16019417475728157,0.0970873786407767,239707.2627376618,315682.41498267034,353714.93000786606
60636,104,68,45,217,0.4792626728110599,0.31336405529953915,0.2073732718894009,62079.474838806615,109011.80041357735,128586.20722790313
60637,126,41,20,187,0.6737967914438503,0.2192513368983957,0.10695187165775401,221453.20032771688,229417.05720348854,227140.17395880146
60638,161,34,7,202,0.7970297029702971,0.16831683168316833,0.034653465346534656,205646.69580429816,275141.54697848647,307811.4259143345
60639,369,91,59,519,0.7109826589595376,0.17533718689788053,0.11368015414258188,188876.86033379257,284890.46757019,312215.1386279865
60640,444,82,47,573,0.774869109947644,0.1431064572425829,0.08202443280977312,237822.64941585294,293378.94779628696,335463.9178500597
60641,253,55,31,339,0.7463126843657817,0.16224188790560473,0.09144542772861357,255031.26596283956,337318.13444142224,383363.5232560507
60642,184,33,12,229,0.8034934497816594,0.14410480349344978,0.05240174672489083,431497.75449319894,510353.4552105514,527822.7753392258
60643,169,59,28,256,0.66015625,0.23046875,0.109375,175440.31315599463,209865.8267451566,220819.66436908385
60644,124,59,35,218,0.5688073394495413,0.2706422018348624,0.16055045871559634,120848.41497240654,197758.765057216,201551.035746937
60645,122,26,13,161,0.7577639751552795,0.16149068322981366,0.08074534161490683,205390.3466059234,269855.3634921974,289397.77071975806
60646,106,14,6,126,0.8412698412698413,0.1111111111111111,0.047619047619047616,377735.33417668985,460600.765355123,521592.9052505254
60647,547,96,54,697,0.7847919655667145,0.13773314203730272,0.07747489239598278,409763.2484400516,516131.62691175553,524174.01957469864
60649,128,47,31,206,0.6213592233009708,0.22815533980582525,0.15048543689320387,116558.22495486608,141922.20796352855,136509.61215846508
60651,131,75,51,257,0.5097276264591439,0.2918287937743191,0.19844357976653695,147383.07694586425,234540.34355819883,260373.5332241544
60652,100,29,3,132,0.7575757575757576,0.2196969696969697,0.022727272727272728,162673.63611567693,230361.73182051675,260216.0533603011
60653,92,29,13,134,0.6865671641791045,0.21641791044776118,0.09701492537313433,267820.15901174024,320356.07958928915,312319.3125514967
60654,296,41,11,348,0.8505747126436781,0.11781609195402298,0.031609195402298854,390513.5064104028,388605.1435673631,354502.460361688
60655,52,19,8,79,0.6582278481012658,0.24050632911392406,0.10126582278481013,225296.23946194572,282680.78583290963,311653.33530832996
60656,64,10,8,82,0.7804878048780488,0.12195121951219512,0.0975609756097561,232108.98695016338,304934.475257388,359136.85516855953
60657,524,82,25,631,0.8304278922345484,0.12995245641838352,0.039619651347068144,388864.61784173385,432467.1644196001,476290.88131754956
60659,319,81,48,448,0.7120535714285714,0.18080357142857142,0.10714285714285714,244139.9686214298,320100.65443517873,340683.1715643816
60660,241,37,29,307,0.7850162866449512,0.12052117263843648,0.09446254071661238,186815.54110197444,236426.6478447175,275393.131592937
60661,115,21,7,143,0.8041958041958042,0.14685314685314685,0.04895104895104895,351883.4343234216,345961.7615057012,332602.2142940538
60707,87,30,10,127,0.6850393700787402,0.23622047244094488,0.07874015748031496,225296.3610274892,297227.22817783675,326800.2942164091
60827,11,2,1,14,0.7857142857142857,0.14285714285714285,0.07142857142857142,78914.44364246051,109528.46296541567,119737.76992480492
